resume_id,role,seniority,strong_skills,medium_skills,weak_skills,missing_skills,years_experience,projects_count,resume_quality,ats_score
R00001,Frontend Engineer,New Grad,React;Jest;CI/CD;TypeScript,JavaScript;Next.js;Svelte,Webpack,Web Performance;State Management,1.6,6,medium,0.63
R00002,Backend Software Engineer Intern,Intern,Redis;Auth;GCP,REST APIs;Python,Terraform,SQL;System Design,0.8,5,medium,0.52
R00003,Machine Learning Engineer Intern,Intern,scikit-learn;Model Evaluation,FastAPI;Computer Vision,PyTorch;AWS,Docker;Experiment Tracking;GCP;TensorFlow,1.2,2,low,0.45
R00004,Systems Software Engineer,New Grad,System Design;Linux;gdb;C++,C;Concurrency;Memory Management,perf,CI/CD;BPF/eBPF,0.5,4,medium,0.53
R00005,Systems Software Engineer,New Grad,BPF/eBPF;Networking;gdb;Docker,CI/CD;C++;Rust,Debugging,Memory Management;System Design,1.0,3,medium,0.6
R00006,Systems Software Engineer,New Grad,Linux;CI/CD;C;Concurrency,System Design;Profiling;Rust,Docker,Debugging,1.2,4,high,0.64
R00007,Embedded Software Intern,Intern,Firmware;SPI,Interrupts;Oscilloscope,Microcontrollers;C++,Unit Testing;I2C;Memory,0.1,5,low,0.46
R00008,Systems Software Engineer,New Grad,Rust;BPF/eBPF;Docker;CI/CD,Profiling;gdb;C++,Concurrency,System Design,1.9,2,high,0.69
R00009,Site Reliability Engineer,Junior,System Design;Python;Kubernetes;CI/CD;Go;Incident Response,Linux;On-call;Observability,Tracing;Prometheus,Chaos Engineering,2.6,1,high,0.67
R00010,Application Security Engineer,Junior,API Security;Secure SDLC;SAST/DAST;Python,Linux;IAM;Code Review,CI/CD Security;Burp Suite;KMS,Cloud Security;Threat Modeling,2.6,5,low,0.45
R00011,Security Analyst Intern,Intern,Cloud Security;IAM;Burp Suite;OWASP,Vulnerability Scanning;SIEM,SAST/DAST,AppSec Basics,1.4,3,high,0.65
R00012,Machine Learning Engineer,New Grad,scikit-learn;Computer Vision;CI/CD;PyTorch,Experiment Tracking;Python;Deployment,Model Serving,GCP;TensorFlow,0.5,5,medium,0.62
R00013,Backend Software Engineer Intern,Intern,Go;Docker,MongoDB;REST APIs,C++;SQL,Linux;Kubernetes;PostgreSQL,0.7,2,low,0.44
R00014,Data Engineer Intern,Intern,GCP;CI/CD;ETL;Data Modeling;BigQuery,Python;Terraform,Docker,AWS,1.0,2,high,0.64
R00015,Systems Software Engineer,Junior,Rust;Memory Management;Docker;Networking;Profiling;Linux;C++,CI/CD;perf;BPF/eBPF,gdb;C,Concurrency,3.0,5,high,0.69
R00016,Robotics Software Engineer Intern,Intern,SLAM;Simulation;Linux;Sensors,CUDA;C++,Docker,Control Systems,1.8,3,high,0.64
R00017,Backend Software Engineer Intern,Intern,Caching;Terraform;Linux;Testing,GCP;Git,MongoDB,Azure,0.8,5,high,0.7
R00018,Data Analyst Intern,Intern,ETL;Pandas;SQL,Python;dbt,Tableau,Excel;Snowflake,1.4,2,medium,0.55
R00019,Backend Software Engineer,Mid,C++;AWS;Redis;CI/CD;Java,Observability;SQL;API Gateway;Terraform,Auth;System Design;Git,MySQL;gRPC;Testing;REST APIs;Microservices,5.1,1,low,0.53
R00020,Full-Stack Engineer Intern,Intern,JavaScript;Docker;React,Node.js;REST APIs,Testing,Redis;AWS,0.8,2,medium,0.59
R00021,Firmware Engineer,Mid,Git;C;Drivers;Logic Analyzer;Memory Management;C++;Microcontrollers,Debugging;SPI;Linux;I2C,CI/CD;UART,RTOS;Oscilloscope,4.0,4,high,0.7
R00022,Embedded Software Intern,Intern,C++;Microcontrollers,Linux;Unit Testing,Debugging;CAN Bus,Oscilloscope;Memory;Git,0.7,5,low,0.44
R00023,Machine Learning Engineer Intern,Intern,TensorFlow;GCP,Deployment;scikit-learn,Computer Vision;Docker,Model Evaluation;AWS,0.3,2,low,0.47
R00024,DevOps Engineer Intern,Intern,Terraform;Networking,Docker;Grafana,ArgoCD;Monitoring,AWS;Logging;Kubernetes,0.6,2,low,0.52
R00025,Full-Stack Engineer Intern,Intern,JavaScript;Next.js;Auth;Git;Flask,Django;React,Python,CI/CD,0.9,3,high,0.68
R00026,Systems Software Engineer,Mid,Networking;CI/CD;perf;Linux;gdb;C;BPF/eBPF,System Design;Concurrency;Docker;C++,Debugging;Profiling,Memory Management;Rust,4.9,3,high,0.74
R00027,Backend Software Engineer Intern,Intern,C++;Azure,Auth;System Design,gRPC;API Gateway,MongoDB;CI/CD,1.1,4,low,0.45
R00028,Systems Software Engineer,Mid,Concurrency;Memory Management;C++;BPF/eBPF;Docker,CI/CD;Debugging;Rust;perf,System Design;Networking;C,gdb;Profiling;Linux,5.7,4,low,0.51
R00029,Systems Software Engineer,Junior,BPF/eBPF;gdb;Rust;System Design;CI/CD,Concurrency;Profiling;C,Memory Management;C++,Docker;Linux,3.0,4,medium,0.63
R00030,Embedded Software Intern,Intern,I2C;Microcontrollers;Interrupts,Drivers;Oscilloscope,UART,SPI;Debugging,0.6,5,medium,0.57
R00031,Frontend Engineer Intern,Intern,Vue;JavaScript;TypeScript;CSS,Playwright;CI/CD,Svelte,Next.js,0.9,3,high,0.61
R00032,Frontend Engineer Intern,Intern,Tailwind;Git;CSS,Vue;JavaScript,TypeScript,Next.js;Svelte,1.3,5,medium,0.54
R00033,Frontend Engineer,Junior,Vite;CSS;Next.js;Design Systems,Svelte;Tailwind;Web Performance,Vue;Testing;JavaScript,HTML;State Management,3.0,4,low,0.44
R00034,Application Security Engineer,New Grad,Threat Modeling;Cloud Security;OWASP;Burp Suite;Pen Testing;IAM,KMS;Secure SDLC;Linux,API Security,CI/CD Security,1.1,5,high,0.68
